labels,tokens,
NAG,"rt @farrukhshaikh: we are with u captain..👍 ""@dawn_news: ہار کو بھلاکر آگے بڑھنا ہوگا، مصباح http://t.co/0izrjfss5w #indvspak #cwc15 http:/…",
NAG,rt @rajat_skfan: hahaha new add by @starsportsindia for #indvsuae !! https://t.co/iqhs34ggox mindblowingggg,
NAG,jldi match end kro yr... #ausvsnz. india ka match start hone wala hai....!!!! #indvsuae #wontgiveitback,
CAG,@kanhaiyajnusu @smritiirani kanhaiya you are not alone don't botherd about these SANGHI'S we are with you #StandWithJNU #JNU,
OAG,"@BDUTT @ndtv Pakis never claimed arresting Masood. Diversionary tactics aka Taquiyya, to deflect attention away from JNU. #ShutDownJNU",
NAG,team india o'rconfident naa hoiyo! #indvsuae,
NAG,#indvspak #cwc15 virat kohli making century and suresh riana celebrating as if he made hundred.. hahahahahaha,
NAG,expecting the gayle in next mauka mauka ad! ! :-p :-d :-d #indvsuae,
NAG,India: In solidarity with my JNU comrades and friends - Mukul Mangalik http://www. sacw.net/article12720.h tml … #StandWithJNU,
OAG,"why is sir jadeja trending :/ trend kerna hai to jhandu jadeja trend kro ""chak de india"" #indvspak",
NAG,tu meri playing courtesy: virat kohli #uaevsind #cwc15 #uaevind #indvsuae,
NAG,the new mauka mauka ad is simply mindblowing. the mind behind mauka mauka ad please apna handle batao #cwc15 #indvsuae @starsportsindia,
CAG,Therefore #ShutDownJNU https:// twitter.com/jyotikatharia/ status/788969835283689472 …,
OAG,"JNU allow event 2 celebrate terrorist,slogans of destroying India & India is intolerant wish I had an award for #AwardWapsi #ShutDownJNU",
NAG,bhaag bhaag well stoped ashwin! #indvspak,
CAG,"We will keep tweeting & government will keep watching. Nothing is going to happen. You know, we are so tolerant. But please #ShutDownJNU",
OAG,"pakistan hs won the toss, wt do u select misbah misbah:""kohli"" dhoni:""chutiye galli cricket nahi hai.teams pehle se decided h #indvspak",
CAG,@TimesNow who the hell are these 15%? #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU,
NAG,#worldcup2015: bhuvneshwar kumar replaces injured mohammad shami vs uae. india to bowl first #indvsuae,
NAG,Delhi High Court has stayed all disciplinary action against JNU students! Study and Struggle Long Live #StandWithJnu http://www. ndtv.com/india-news/jnu -action-against-kanhaiya-kumar-others-put-on-hold-by-high-court-1405920?pfrom=home-lateststories …,
CAG,"*JNU addmission* Where do you see yourself after 5 years ?"" *fighting 4 terrorist human rights* ""Congrats, you are selected"" #ShutDownJNU""",
NAG,ek aur se bet lagadi.. #indvspak #wc,
NAG,most one-sided rivalry in world cup: 7-0 pak v sl 6-0 ind v pak 5-0 wi v zim 5-0 sl v zim 4-0 ind v ken #cwc15 #indvspak via @rgcricket,
NAG,3rd consecutive victory...yayyaayyy...:d #wontgiveitback #indvsuae,
NAG,I liked a @YouTube video from @standwithjnu http:// youtu.be/qA6KBvC8CGQ?a Songs of resistance by Sumangala Damodaran at #StandWithJNU,
NAG,pakistan scoring in morse code. dot dot dot dot 4 dot dot dot #indvspak,
OAG,#ShutDownJNU why BJP is so Defen mod ? HM pls do smtg now what's goin onnnnnn,
CAG,#AAPVictoryday celebrated by JNU. #shutdownjnu,
OAG,@timesofindia zambani dalal modi promised lowtariff&amp;now barks at aap cagpowercost http://t.co/csebcgarku http://t.co/ptrgk2fevt #indvspak,
NAG,rt @merri_jaan: auses went down in points table and will meet india in quarters 😜 #ausvnz #indvsuae,
NAG,"good news for pakistan - kohli out! bad news for pakistan - dhoni in! #indvspak""",
CAG,jnutard ! u must also be supporting maoists... shame #ShutDownJNU,
NAG,virat ko batting do! chak de india #indvspak,
CAG,anti-India slogans at JNU? how do they allow these nonsense? this is horrendous :/ #ShutDownJNU,
NAG,they cant cheat in the field bhaiyon! let them feel आमने-सामने की लड़ाई. #indvspak,
CAG,Smtyms I feel lyk I need a sword and an exemption from SC for killing anti-nationals #ShutDownJNU,
NAG,live: openers give solid start to indian run chase live scorecard: http://t.co/ab9juihhhw #indvsuae #cwc15,
NAG,response video to india vs uae mauka mauka! #indvsuae https://t.co/f5lb0jvqlh,
CAG,abe worldcup match hai ya 3 ghante ki movie. #indvsuae,
NAG,rt shoaibakhtarpk: we missed you bro ... #pakvsind #indvspak #pakvind #indvpak #pakvsind http://t.co/ttldib6cyv ..,
NAG,@micromax_mobile #micromaxchalechalo india.india.india.india did it again #cwc15 #indvsuae come on india share #micromaxchalechalo anthem,
NAG,trending uk:07:00 am gmt 1. #indvspak 2. kohli 3. zach lavine 4. #cwc15 5. dhawan 6. #savzim 7. #ufcbroomfield,
CAG,Police should arrest them. But the sad thing is that they will create this as an issue like Muslims have no peace in India #ShutDownJNU,
NAG,@pumacricket #pumatimeout #indvsuae no oneeeee to take selfie todayyyyyyy oops,
NAG,rt dna: mohammad tauqir bowled round his legs by jadeja. uae- 71/9. #indvsuae http://t.co/k3cwcxmzzn;,
NAG,awesome spell from @ashwinravi99 #ind 25 runs &amp; 4 wickets cool #cwc15 @cricketworldcup @bcci #indvsuae #uae,
CAG,#ShutDownJNU Goes Viral: People demand Govt. to Shut Down anti-national JNU http:// hawkfeed.com/shutdownjnu-go es-viral-people-demand-govt-to-shut-down-anti-national-jnu/ … via @@HawkFeed,
NAG,#StandWithJNU http:// fb.me/80mqC5rfS,
NAG,eeeeeeeee😁 bhuvi is back wit a wicket😆😆 @bhuviofficial 😇 #indvsuae #cwc15,
CAG,Time and time again it has been proven that award wapsi was completely bogus. #ShutDownJNU,
CAG,@israkhan98 hahahhahaha event i cant sleep . neend udi hui hai 😂 #indvspak k match k wajah se,
NAG,:o fedrer on our side! #indvspak #cwc15 !! http://t.co/3an5criz62,
CAG,I do NOT agree with the top trending #ShutDownJNU . Rather #OpenUpJNU . Its sheer nuisance is the best example of India's unlimited tolerance.,
CAG,uae proud alumni of iin . #indvsuae,
NAG,"kiran more, ajay jadeja, venkatesh prasad n sachin tendulkar against pakistan never gets old. #indvspak #cwc15",
NAG,me and my mate swapnil patel watching bat swapnil patil!! too confused!! #indvsuae,
NAG,rt babajikathullu4: dhoni and raina react to the phatakhe wala ad #indvspak #जयहिन्द #cwc15 #bleedblue http://t.co/pcxj6o5xxu,
NAG,1.56 billion views for indvspak. 1.56 billion,
NAG,india total wins vs pakistan in odi: in india ~ 11 wins in pakistan ~ 11 wins #indvspak,
CAG,Time has cone for #ShutDownJNU,
NAG,"#indvuae wicket: india 29/1 (6.3, target: 103) dhawan c rohan mustafa b mohammad naveed 14 (17) mohammad naveed 3.3-0-22-1 #indvsuae #cwc15",
NAG,"now toh even federer support india. india 1, pak 00. hahaha...lol :p #indvspak",
CAG,rt @indy12if: you can walk away now! :d bahahahahhahahahaa 28-3 #indvsuae http://t.co/16f1wrpfw7,
NAG,rahulllllllllllll activate ur a/c 😭😭😭 hmne kya decide kiya ta aj #indvspak chak de india,
OAG,#ShutDownJNU don't waste taxpayers money for people like these #shutdownjnu,
NAG,@coolfunnytshirt best of modi to team india. modi ~ luck #indvspak,
OAG,"People who can't respect India, should not be allowed to stay here. It's time to #ShutDownJNU",
OAG,"@ZeeNews @sudhirchaudhary some sons are able to fuck their mom, jnu did the same today, they r fucking India, letting us down. #shutdownJNU",
NAG,@ajjunrams:hahahahahaha rofl hahahahaha rt @cerebralriot: found this gem. #indvspak #wc2015 http://t.co/wuo5dpapwu suits him #pakvwi,
CAG,"What will a college inquiry do? How did they get the courage to do this is the question, which teachers backed them? #ShutDownJNU",
CAG,How can these students roam freely ? Why aren't they behind bars ? #ShutDownJNU,
NAG,"#worldcup2015:uae bat, bhuvneshwar kumar in for injured shami #indvsuae http://t.co/4e7lb82o0a http://t.co/vahykykzme",
